register;points;region_1;title;price;province;region_2;variety;winery
270;89;Colli Orientali del Friuli;Livio Felluga 2009 Friulano (Colli Orientali del Friuli)                                          ;25;Northeastern Ital;                 ;Friulano                  ;Livio Felluga                  
272;89;Alto Adige                ;Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige)                                              ;26;Northeastern Ital;                 ;Pinot Bianco              ;Nals Margreid                  
274;89;Monferrato                ;Pico Maccario 2010 Estrosa White (Monferrato)                                                     ;13;Piedmont         ;                 ;White Blend               ;Pico Maccario                  
282;92;Toscana                   ;I Giusti e Zanza 2009 Dulcamara Red (Toscana)                                                     ;41;Tuscany          ;                 ;Red Blend                 ;I Giusti e Zanza               
302;87;Roero                     ;Cantina del Nebbiolo 2008  Roero                                                                  ;               ;Piedmont         ;                 ;Nebbiolo                  ;Cantina del Nebbiolo           
304;87;Barbera d'Asti Superiore N;Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza)                                 ;               ;Piedmont         ;                 ;Barbera                   ;Cascina La Ghersa              
310;87;Langhe                    ;Boffa 2006 Nebbiolo (Langhe)                                                                      ;18;Piedmont         ;                 ;Nebbiolo                  ;Boffa                          
320;86;Prosecco di Valdobbiadene ;Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene)                      ;22;Veneto           ;                 ;Prosecco                  ;Perlage                        
322;86;Prosecco di Valdobbiadene ;Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene)                                    ;18;Veneto           ;                 ;Prosecco                  ;Sant Eurosia                   
324;86;Prosecco di Conegliano    ;L'Antica Quercia 2007 Matiú Brut  (Prosecco di Conegliano)                                        ;12;Veneto           ;                 ;Prosecco                  ;L'Antica Quercia               
326;86;Prosecco di Valdobbiadene ;Marsuret NV Extra Dry  (Prosecco di Valdobbiadene)                                                ;15;Veneto           ;                 ;Prosecco                  ;Marsuret                       
332;86;Prosecco di Conegliano    ;Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano)                                         ;19;Veneto           ;                 ;Prosecco                  ;Sommariva                      
350;97;Barolo                    ;Cavallotto 2010 Vignolo Riserva  (Barolo)                                                         ;150;Piedmont         ;                 ;Nebbiolo                  ;Cavallotto                     
366;88;Alto Adige                ;Cantina Terlano 2000 Vorberg Pinot Bianco (Alto Adige)                                            ;21;Northeastern Ital;                 ;Pinot Bianco              ;Cantina Terlano                
368;88;Bianco di Custoza         ;Montresor 2001  Bianco di Custoza                                                                 ;11;Veneto           ;                 ;Garganega                 ;Montresor                      
372;88;Soave                     ;Gini 2002 Classico  (Soave)                                                                       ;10;Veneto           ;                 ;White Blend               ;Gini                           
376;88;Colli Orientali del Friuli;Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli)                          ;18;Northeastern Ital;                 ;Pinot Grigio              ;Volpe Pasini                   
384;88;Alto Adige                ;San Michele Eppan 2002 Sanct Valentin Gewürztraminer (Alto Adige)                                 ;30;Northeastern Ital;                 ;Gewürztraminer            ;San Michele Eppan              
400;85;Italy                     ;Cantine Maschio NV Brut Prosecco (Italy)                                                          ;13;Italy Other      ;                 ;Prosecco                  ;Cantine Maschio                
408;85;Prosecco di Conegliano e V;Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene)            ;15;Veneto           ;                 ;Prosecco                  ;Le Vigne di Alice              
412;85;Prosecco di Valdobbiadene ;Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene)                                              ;20;Veneto           ;                 ;Prosecco                  ;Perlage                        
414;85;Prosecco del Veneto       ;Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto)                                             ;16;Veneto           ;                 ;Prosecco                  ;Pizzolato                      
416;85;Prosecco del Veneto       ;Ca'Tullio NV Extra Dry  (Prosecco del Veneto)                                                     ;14;Veneto           ;                 ;Prosecco                  ;Ca'Tullio                      
434;89;Barolo                    ;Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo)                                            ;89;Piedmont         ;                 ;Nebbiolo                  ;Revello Fratelli               
436;89;Gavi                      ;Tenuta La Marchesa 2015 Gold Label  (Gavi)                                                        ;15;Piedmont         ;                 ;Cortese                   ;Tenuta La Marchesa             
458;92;Franciacorta              ;Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta)                                     ;50;Lombardy         ;                 ;Sparkling Blend           ;Bellavista                     
488;87;Friuli Grave              ;Vigneti Le Monde 2010 Pinot Grigio (Friuli Grave)                                                 ;18;Northeastern Ital;                 ;Pinot Grigio              ;Vigneti Le Monde               
506;87;Venezia Giulia            ;Altùris 2011 White (Venezia Giulia)                                                               ;12;Northeastern Ital;                 ;White Blend               ;Altùris                        
542;93;Alto Adige Valle Isarco   ;Abbazia di Novacella 2012 Praepositus Passito Kerner (Alto Adige Valle Isarco)                    ;30;Northeastern Ital;                 ;Kerner                    ;Abbazia di Novacella           
572;89;Dolcetto d'Alba           ;Brezza 2015  Dolcetto d'Alba                                                                      ;15;Piedmont         ;                 ;Dolcetto                  ;Brezza                         
600;87;Gavi                      ;Michele Chiarlo 2011 Le Marne  (Gavi)                                                             ;19;Piedmont         ;                 ;Cortese                   ;Michele Chiarlo                
614;87;Soave Classico            ;Suavia 2011  Soave Classico                                                                       ;19;Veneto           ;                 ;Garganega                 ;Suavia                         
620;87;Conegliano Valdobbiadene P;Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore)                                  ;20;Veneto           ;                 ;Glera                     ;Bortolotti                     
626;87;Gambellara Classico       ;Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico)                                       ;23;Veneto           ;                 ;Garganega                 ;Domenico Cavazza               
650;92;Collio                    ;Sturm 2014 Sauvignon (Collio)                                                                     ;24;Northeastern Ital;                 ;Sauvignon                 ;Sturm                          
662;90;Barolo                    ;Palladino 2011 Ornato  (Barolo)                                                                   ;65;Piedmont         ;                 ;Nebbiolo                  ;Palladino                      
664;90;Dogliani Superiore        ;Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore)                                                ;35;Piedmont         ;                 ;Dolcetto                  ;Pecchenino                     
678;90;Cortona                   ;Baracchi Riccardo 2012 Smeriglio Syrah (Cortona)                                                  ;35;Tuscany          ;                 ;Syrah                     ;Baracchi Riccardo              
682;90;Piemonte                  ;Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte)                                      ;45;Piedmont         ;                 ;Pinot Nero                ;Castello di Neive              
686;90;Barolo                    ;Comm. G. B. Burlotto 2011 Acclivi  (Barolo)                                                       ;53;Piedmont         ;                 ;Nebbiolo                  ;Comm. G. B. Burlotto           
692;91;Morellino di Scansano     ;Poggio Argentiera 2012 Capatosta  (Morellino di Scansano)                                         ;35;Tuscany          ;                 ;Red Blend                 ;Poggio Argentiera              
744;85;Barbaresco                ;Punset 2011 Campo Quadro Riserva  (Barbaresco)                                                    ;48;Piedmont         ;                 ;Nebbiolo                  ;Punset                         
780;92;Vin Santo del Chianti Clas;Castello d'Albola 2003  Vin Santo del Chianti Classico                                            ;50;Tuscany          ;                 ;White Blend               ;Castello d'Albola              
808;90;Verdicchio dei Castelli di;Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico)                                  ;32;Central Italy    ;                 ;Verdicchio                ;Moncaro                        
814;86;Rosso di Montalcino       ;Valdicava 2012  Rosso di Montalcino                                                               ;               ;Tuscany          ;                 ;Sangiovese                ;Valdicava                      
822;86;Rosso di Montalcino       ;Ridolfi 2012  Rosso di Montalcino                                                                 ;20;Tuscany          ;                 ;Sangiovese                ;Ridolfi                        
826;86;Rosso di Montalcino       ;Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino)                                         ;28;Tuscany          ;                 ;Sangiovese                ;Tenuta San Giorgio             
844;90;Etna                      ;Cottanera 2015 Bianco  (Etna)                                                                     ;24;Sicily & Sardinia;                 ;Carricante                ;Cottanera                      
856;90;Sannio                    ;Fattoria La Rivolta 2015 Taburno Fiano (Sannio)                                                   ;25;Southern Italy   ;                 ;Fiano                     ;Fattoria La Rivolta            
862;90;Etna                      ;Tornatore 2015 Rosato (Etna)                                                                      ;19;Sicily & Sardinia;                 ;Rosato                    ;Tornatore                      
894;90;Morellino di Scansano     ;Jacopo Biondi-Santi 2008 Castello di Montepò  (Morellino di Scansano)                             ;29;Tuscany          ;                 ;Sangiovese                ;Jacopo Biondi-Santi            
898;90;Toscana                   ;Marsiliana 2005 Red (Toscana)                                                                     ;               ;Tuscany          ;                 ;Red Blend                 ;Marsiliana                     
904;87;Barbaresco                ;Boffa 2013 Pajè  (Barbaresco)                                                                     ;50;Piedmont         ;                 ;Nebbiolo                  ;Boffa                          
908;87;Barbaresco                ;Cascina Bruciata 2013  Barbaresco                                                                 ;39;Piedmont         ;                 ;Nebbiolo                  ;Cascina Bruciata               
918;87;Barolo                    ;Diego Conterno 2012 Ginestra  (Barolo)                                                            ;50;Piedmont         ;                 ;Nebbiolo                  ;Diego Conterno                 
928;87;Barbaresco                ;Battaglio 2013  Barbaresco                                                                        ;60;Piedmont         ;                 ;Nebbiolo                  ;Battaglio                      
956;87;Greco di Tufo             ;Cantine di Marzo NV Anni Venti Metodo Classico  (Greco di Tufo)                                   ;30;Southern Italy   ;                 ;Greco                     ;Cantine di Marzo               
964;85;Lugana                    ;Fabiano 2006 Argillaia  (Lugana)                                                                  ;17;Lombardy         ;                 ;Trebbiano                 ;Fabiano                        
968;85;Bardolino Classico        ;Tommasi 2006 Chiaretto  (Bardolino Classico)                                                      ;               ;Veneto           ;                 ;Rosé                      ;Tommasi                        
980;85;Amarone della Valpolicella;Montresor 2003 Capitel della Crosara  (Amarone della Valpolicella Classico)                       ;41;Veneto           ;                 ;Corvina, Rondinella, Molin;Montresor                      
982;85;Piave                     ;Bellenda 2005 Col di Luna Cabernet Sauvignon (Piave)                                              ;16;Veneto           ;                 ;Cabernet Sauvignon        ;Bellenda                       
996;88;Sicilia                   ;Caruso & Minini 2006 Terre di Giumara Syrah (Sicilia)                                             ;14;Sicily & Sardinia;                 ;Syrah                     ;Caruso & Minini                
1012;88;Etna                      ;Antichi Vinai 1877 2013 Pietralava Red (Etna)                                                     ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Antichi Vinai 1877             
1016;88;Sicilia                   ;Casa di Grazia 2011 Gradiva Collectio Nero d'Avola (Sicilia)                                      ;22;Sicily & Sardinia;                 ;Nero d'Avola              ;Casa di Grazia                 
1022;88;Sicilia                   ;Cusumano 2013 Cubia Tenuta Ficuzza Insolia (Sicilia)                                              ;27;Sicily & Sardinia;                 ;Insolia                   ;Cusumano                       
1036;88;Etna                      ;Vivera 2010 Salisire Bianco  (Etna)                                                               ;28;Sicily & Sardinia;                 ;Carricante                ;Vivera                         
1044;85;Isonzo del Friuli         ;Tenuta Luisa 2007 Rive Alte Pinot Grigio (Isonzo del Friuli)                                      ;17;Northeastern Ital;                 ;Pinot Grigio              ;Tenuta Luisa                   
1046;85;Colli Orientali del Friuli;I Clivi 2004 Bianco degli Arzillari White (Colli Orientali del Friuli)                            ;28;Northeastern Ital;                 ;White Blend               ;I Clivi                        
1054;85;Colli Orientali del Friuli;Vinai dell'Abbate 2006 Ribolla Gialla (Colli Orientali del Friuli)                                ;19;Northeastern Ital;                 ;Ribolla Gialla            ;Vinai dell'Abbate              
1062;85;Colli Orientali del Friuli;Colutta 2007 Friulano (Colli Orientali del Friuli)                                                ;               ;Northeastern Ital;                 ;Friulano                  ;Colutta                        
1064;85;Sicilia                   ;Principe di Corleone 2004 Evoè Red (Sicilia)                                                      ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Principe di Corleone           
1114;90;Rosso di Montalcino       ;Citille di Sopra 2012  Rosso di Montalcino                                                        ;38;Tuscany          ;                 ;Sangiovese                ;Citille di Sopra               
1118;90;Rosso di Montepulciano    ;Dei 2012  Rosso di Montepulciano                                                                  ;18;Tuscany          ;                 ;Red Blend                 ;Dei                            
1138;84;Basilicata                ;Grifalco 2014 Frà Rosato (Basilicata)                                                             ;10;Southern Italy   ;                 ;Rosato                    ;Grifalco                       
1146;83;Campania                  ;Nugnes 2014 Rosato (Campania)                                                                     ;               ;Southern Italy   ;                 ;Rosato                    ;Nugnes                         
1148;83;Sicilia                   ;Cantine Grasso 2013 Caporosso Nero d'Avola (Sicilia)                                              ;14;Sicily & Sardinia;                 ;Nero d'Avola              ;Cantine Grasso                 
1162;86;Prosecco di Conegliano    ;Carmina NV Extra Dry  (Prosecco di Conegliano)                                                    ;15;Veneto           ;                 ;Prosecco                  ;Carmina                        
1164;86;Prosecco di Valdobbiadene ;Col Saliz NV Servo Suo Dry Vendemmia Tardiva  (Prosecco di Valdobbiadene)                         ;19;Veneto           ;                 ;Prosecco                  ;Col Saliz                      
1176;86;Prosecco di Valdobbiadene ;Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene)                                     ;18;Veneto           ;                 ;Prosecco                  ;Spagnol                        
1184;88;Barolo                    ;Broccardo 2012 I Tre Pais  (Barolo)                                                               ;50;Piedmont         ;                 ;Nebbiolo                  ;Broccardo                      
1218;93;Verdicchio dei Castelli di;Bucci 2014 Villa Bucci Riserva  (Verdicchio dei Castelli di Jesi Classico)                        ;57;Central Italy    ;                 ;Verdicchio                ;Bucci                          
1250;88;Chianti Classico          ;Lamole di Lamole 2005 Riserva  (Chianti Classico)                                                 ;               ;Tuscany          ;                 ;Sangiovese                ;Lamole di Lamole               
1258;88;Brunello di Montalcino    ;Caparzo 2004 Vigna La Casa  (Brunello di Montalcino)                                              ;90;Tuscany          ;                 ;Sangiovese Grosso         ;Caparzo                        
1260;85;Sicilia                   ;Firriato 2010 Santagostino Baglio Sorìa White (Sicilia)                                           ;22;Sicily & Sardinia;                 ;White Blend               ;Firriato                       
1268;85;Sicilia                   ;Cusumano 2010 Insolia (Sicilia)                                                                   ;12;Sicily & Sardinia;                 ;Insolia                   ;Cusumano                       
1272;84;Sicilia                   ;Maggiovini 2008 Pithoi Nero d'Avola (Sicilia)                                                     ;               ;Sicily & Sardinia;                 ;Nero d'Avola              ;Maggiovini                     
1274;84;Sicilia                   ;Masseria del Feudo Grottarossa 2009 Haermosa Chardonnay (Sicilia)                                 ;28;Sicily & Sardinia;                 ;Chardonnay                ;Masseria del Feudo Grottarossa 
1278;84;Sicilia                   ;Resonata 2010 Nero d'Avola (Sicilia)                                                              ;10;Sicily & Sardinia;                 ;Nero d'Avola              ;Resonata                       
1286;89;Greco di Tufo             ;Feudi di San Gregorio 2014  Greco di Tufo                                                         ;20;Southern Italy   ;                 ;Greco                     ;Feudi di San Gregorio          
1288;89;Alto Adige                ;Griesbauerhof 2013 St. Magdalener Classico Red (Alto Adige)                                       ;19;Northeastern Ital;                 ;Red Blend                 ;Griesbauerhof                  
1290;89;Alto Adige                ;Cantina Produttori San Michele Appiano 2011 Sanct Valentin Pinot Nero (Alto Adige)                ;48;Northeastern Ital;                 ;Pinot Nero                ;Cantina Produttori San Michele 
1292;89;Trentino                  ;Cembra 2013 Sauvignon (Trentino)                                                                  ;13;Northeastern Ital;                 ;Sauvignon                 ;Cembra                         
1312;89;Alto Adige                ;Tenuta Peter Sölva & Söhne 2013 I Vigneti Pinot Nero (Alto Adige)                                 ;15;Northeastern Ital;                 ;Pinot Nero                ;Tenuta Peter Sölva & Söhne     
1314;89;Alto Adige                ;Tiefenbrunner 2011 Linticlarus Riserva Pinot Nero (Alto Adige)                                    ;40;Northeastern Ital;                 ;Pinot Nero                ;Tiefenbrunner                  
1316;90;Greco di Tufo             ;Vesevo 2016  Greco di Tufo                                                                        ;20;Southern Italy   ;                 ;Greco                     ;Vesevo                         
1344;90;Sicilia                   ;Feudo Montoni 2016 della Timpa Grillo (Sicilia)                                                   ;18;Sicily & Sardinia;                 ;Grillo                    ;Feudo Montoni                  
1350;86;Sannio                    ;Capolino Perlingieri 2011 Preta Falanghina (Sannio)                                               ;19;Southern Italy   ;                 ;Falanghina                ;Capolino Perlingieri           
1372;86;Venezia Giulia            ;Di Lenardo 2007 Vigneto Vigne dai Vieris Pinot Bianco (Venezia Giulia)                            ;10;Northeastern Ital;                 ;Pinot Bianco              ;Di Lenardo                     
1384;88;Collio                    ;Renato Keber 2012 Pinot Grigio (Collio)                                                           ;25;Northeastern Ital;                 ;Pinot Grigio              ;Renato Keber                   
1402;88;Alto Adige                ;Colterenzio 2014 Puiten Pinot Grigio (Alto Adige)                                                 ;23;Northeastern Ital;                 ;Pinot Grigio              ;Colterenzio                    
1404;88;Collio                    ;Mario Schiopetto 2013 Pinot Grigio (Collio)                                                       ;28;Northeastern Ital;                 ;Pinot Grigio              ;Mario Schiopetto               
1408;88;Alto Adige                ;Nals Margreid 2014 Sauvignon (Alto Adige)                                                         ;20;Northeastern Ital;                 ;Sauvignon                 ;Nals Margreid                  
1452;94;Brunello di Montalcino    ;Le Ragnaie 2012 Fornace  (Brunello di Montalcino)                                                 ;125;Tuscany          ;                 ;Sangiovese                ;Le Ragnaie                     
1454;94;Amarone della Valpolicella;Masi 2009 Campolongo di Torbe  (Amarone della Valpolicella Classico)                              ;154;Veneto           ;                 ;Red Blend                 ;Masi                           
1460;93;Vigneti delle Dolomiti    ;Foradori 2013 Morei Teroldego (Vigneti delle Dolomiti)                                            ;48;Northeastern Ital;                 ;Teroldego                 ;Foradori                       
1462;93;Brunello di Montalcino    ;Le Ragnaie 2012  Brunello di Montalcino                                                           ;70;Tuscany          ;                 ;Sangiovese                ;Le Ragnaie                     
1474;86;Montefalco Rosso          ;Terre de Trinci 2003 Riserva  (Montefalco Rosso)                                                  ;18;Central Italy    ;                 ;Red Blend                 ;Terre de Trinci                
1488;85;Sagrantino di Montefalco  ;Casale Triocco 2003  Sagrantino di Montefalco                                                     ;35;Central Italy    ;                 ;Sagrantino                ;Casale Triocco                 
1498;85;Collio                    ;Ronco Blanchis 2006 Pinot Grigio (Collio)                                                         ;16;Northeastern Ital;                 ;Pinot Grigio              ;Ronco Blanchis                 
1500;92;Sicilia                   ;Planeta 2011 Cometa Fiano (Sicilia)                                                               ;43;Sicily & Sardinia;                 ;Fiano                     ;Planeta                        
1522;92;Sicilia                   ;Morgante 2009 Don Antonio Nero d'Avola (Sicilia)                                                  ;42;Sicily & Sardinia;                 ;Nero d'Avola              ;Morgante                       
1526;86;Terre Siciliane           ;Hauner 2015 Hierà Rosé (Terre Siciliane)                                                          ;21;Sicily & Sardinia;                 ;Rosé                      ;Hauner                         
1544;85;Puglia                    ;Orion Wines 2016 The Wanted Zin Blush Rosato (Puglia)                                             ;14;Southern Italy   ;                 ;Rosato                    ;Orion Wines                    
1550;85;Bardolino Chiaretto       ;Villa Cordevigo 2016 Heaven Scent  (Bardolino Chiaretto)                                          ;20;Veneto           ;                 ;Rosato                    ;Villa Cordevigo                
1564;97;Bolgheri Superiore        ;Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore)                                        ;215;Tuscany          ;                 ;Red Blend                 ;Tenuta dell'Ornellaia          
1570;96;Bolgheri Superiore        ;Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore)                                           ;75;Tuscany          ;                 ;Red Blend                 ;Tenuta Argentiera              
1588;88;Terre Siciliane           ;Ceuso 2014 Scurati Nero d'Avola (Terre Siciliane)                                                 ;16;Sicily & Sardinia;                 ;Nero d'Avola              ;Ceuso                          
1642;85;Gattinara                 ;Il Chiosso 2010  Gattinara                                                                        ;40;Piedmont         ;                 ;Nebbiolo                  ;Il Chiosso                     
1662;85;Montepulciano d'Abruzzo   ;Gru 2015  Montepulciano d'Abruzzo                                                                 ;10;Central Italy    ;                 ;Montepulciano             ;Gru                            
1668;85;Montepulciano d'Abruzzo   ;Cantina Valle Tritana 2014 Capostrano  (Montepulciano d'Abruzzo)                                  ;19;Central Italy    ;                 ;Montepulciano             ;Cantina Valle Tritana          
1676;90;Toscana                   ;Sant Agnese dei F.lli Gigli 2006 Libatio Red (Toscana)                                            ;               ;Tuscany          ;                 ;Red Blend                 ;Sant Agnese dei F.lli Gigli    
1682;90;Brunello di Montalcino    ;Il Veltro 2005  Brunello di Montalcino                                                            ;               ;Tuscany          ;                 ;Sangiovese Grosso         ;Il Veltro                      
1696;86;Toscana                   ;Petra 2003 Quercegobbe Merlot (Toscana)                                                           ;50;Tuscany          ;                 ;Merlot                    ;Petra                          
1698;86;Toscana                   ;Terralsole 2005 Solista Syrah (Toscana)                                                           ;85;Tuscany          ;                 ;Syrah                     ;Terralsole                     
1732;92;Brunello di Montalcino    ;Lambardi 2010  Brunello di Montalcino                                                             ;90;Tuscany          ;                 ;Sangiovese                ;Lambardi                       
1736;92;Brunello di Montalcino    ;Tenuta San Giorgio 2010 Ugolforte  (Brunello di Montalcino)                                       ;50;Tuscany          ;                 ;Sangiovese                ;Tenuta San Giorgio             
1738;92;Brunello di Montalcino    ;Lisini 2008 Riserva  (Brunello di Montalcino)                                                     ;80;Tuscany          ;                 ;Sangiovese                ;Lisini                         
1740;92;Bolgheri                  ;Ornellaia 2012 Le Serre Nuove  (Bolgheri)                                                         ;75;Tuscany          ;                 ;Red Blend                 ;Ornellaia                      
1798;91;Barolo                    ;Villadoria 2004 Riserva  (Barolo)                                                                 ;50;Piedmont         ;                 ;Nebbiolo                  ;Villadoria                     
1864;94;Toscana                   ;Monteverro 2008 Tinata Red (Toscana)                                                              ;130;Tuscany          ;                 ;Red Blend                 ;Monteverro                     
1876;93;Brunello di Montalcino    ;Argiano 2006 L'Orciaia  (Brunello di Montalcino)                                                  ;               ;Tuscany          ;                 ;Sangiovese Grosso         ;Argiano                        
1892;89;Falerno del Massico       ;Villa Matilde 2003 Red (Falerno del Massico)                                                      ;21;Southern Italy   ;                 ;Red Blend                 ;Villa Matilde                  
1904;89;Fiano di Avellino         ;Di Meo 2003 Alessandra  (Fiano di Avellino)                                                       ;24;Southern Italy   ;                 ;Fiano                     ;Di Meo                         
1928;87;Barbera d'Asti Superiore  ;Pico Maccario 2011 Tre Rovere  (Barbera d'Asti Superiore)                                         ;25;Piedmont         ;                 ;Barbera                   ;Pico Maccario                  
